Site,block,Day,Time,Observer,Tree,Bromeliads,obs,Order,Suborder,Family,cleanspec,Species,Specimen,Diet,Behavior,behaviour,Behavior_Duration,Interaction_Type,interaction,Interaction_Target,Interaction_Duration,Interaction_Outcome
CP,A,06-02-17,Day,Fran,K1,absent,S,Hymenoptera,Apocrita,Formicidae,Ant_A,Ant_A,Ant_A_a,pred,exploring,mobile,300,nothing,,nothing,0,nothing
CP,A,06-02-17,Day,Fran,K9,present,S,Hymenoptera,Apocrita,Formicidae,Ant_A,Ant_A,Ant_A_a,pred,exploring,mobile,300,nothing,,nothing,0,nothing
CP,A,06-02-17,Day,Fran,L6,present,F,Hymenoptera,Apocrita,Formicidae,Ant_A,Ant_A,Ant_A_a,pred,exploring,mobile,300,nothing,,nothing,0,nothing
CP,A,06-02-17,Day,Fran,L6,present,F,Hymenoptera,Apocrita,Formicidae,Ant_A,Ant_A,Ant_A_a,pred,exploring,mobile,300,nothing,,nothing,0,nothing
CP,A,06-02-17,Day,Fran,L8,absent,S,Hymenoptera,Apocrita,Formicidae,Ant_A,Ant_A,Ant_A_a,pred,exploring,mobile,300,nothing,,nothing,0,nothing
CP,A,06-02-17,Day,Fran,I4,absent,S,Hymenoptera,Apocrita,Formicidae,Ant_A,Ant_A,Ant_A_b,pred,exploring,mobile,180,nothing,,nothing,0,nothing
CP,A,06-02-17,Day,Fran,I6,absent,F,Hymenoptera,Apocrita,Formicidae,Ant_A,Ant_A,Ant_A_b,pred,exploring,mobile,300,nothing,,nothing,0,nothing
CP,A,06-02-17,Day,Fran,I6,absent,S,Hymenoptera,Apocrita,Formicidae,Ant_A,Ant_A,Ant_A_b,pred,exploring,mobile,300,nothing,,nothing,0,nothing
CP,A,06-02-17,Day,Fran,J2,absent,F,Hymenoptera,Apocrita,Formicidae,Ant_A,Ant_A,Ant_A_b,pred,exploring,mobile,300,nothing,,nothing,0,nothing
CP,A,06-02-17,Day,Fran,J3,present,S,Hymenoptera,Apocrita,Formicidae,Ant_A,Ant_A,Ant_A_b,pred,exploring,mobile,300,nothing,,nothing,0,nothing
CP,A,06-02-17,Day,Fran,J3,present,S,Hymenoptera,Apocrita,Formicidae,Ant_A,Ant_A,Ant_A_b,pred,exploring,mobile,300,nothing,,nothing,0,nothing
CP,A,06-02-17,Day,Fran,K1,absent,F,Hymenoptera,Apocrita,Formicidae,Ant_A,Ant_A,Ant_A_b,pred,exploring,mobile,300,nothing,,nothing,0,nothing
CP,A,06-02-17,Day,Fran,K1,absent,S,Hymenoptera,Apocrita,Formicidae,Ant_A,Ant_A,Ant_A_b,pred,exploring,mobile,300,nothing,,nothing,0,nothing
